date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
2010-02-01,339580,0.1436184173663202,3.411942407484103,333314.5,6033.189439939018,2010,2,False
2010-03-01,346974,2.177395606337229,7.544152197226572,335342.8333333333,6205.073801237079,2010,3,False
2010-04-01,349869,0.8343564647495194,7.876715496588282,337471.6666666667,6457.708323228213,2010,4,False
2010-05-01,346858,-0.8606078275011475,6.069214797055755,339125.5833333333,6064.609609835583,2010,5,False
2010-06-01,346516,-0.09859942685479517,4.300974935811963,340316.3333333333,5989.290189138505,2010,6,False
2010-07-01,347612,0.31629131122372645,4.178379836365265,341478.1666666667,5934.814783560305,2010,7,False
2010-08-01,349188,0.45337905480824503,2.8275606179288815,342278.3333333333,6292.999910917111,2010,8,False
2010-09-01,352179,0.8565586446269702,6.399132321041212,344043.4166666667,5791.933080640864,2010,9,False
2010-10-01,356215,1.1460081379071507,6.461543059519714,345845.0833333333,5946.230333098387,2010,10,False
2010-11-01,359450,0.9081593981163039,6.560220087098045,347689.1666666667,6470.634700263988,2010,11,False
2010-12-01,361979,0.7035749061065522,6.861685796608574,349626.0833333333,7003.76935473047,2010,12,False
2011-01-01,364394,0.6671657748101412,7.461374903050189,351734.5,7344.640006031785,2011,1,False
2011-02-01,367475,0.8455133728875852,8.214559161316926,354059.0833333333,7559.270785639876,2011,2,False
2011-03-01,370775,0.8980202734879983,6.859591784975239,356042.5,8584.258780943499,2011,3,False
2011-04-01,372820,0.5515474344278903,6.55988384223809,357955.0833333333,9582.470695431994,2011,4,False
2011-05-01,372505,-0.08449117536613038,7.394092106856398,360092.3333333333,9741.20562198147,2011,5,False
2011-06-01,375587,0.8273714446785929,8.38951159542416,362514.9166666667,9672.561496395008,2011,6,False
2011-07-01,375442,-0.03860623504008398,8.006052725452516,364834.0833333333,9093.519445272277,2011,7,False
2011-08-01,375860,0.11133543929555678,7.63829226663002,367056.75,8130.19626426609,2011,8,False
2011-09-01,380042,1.1126483265045506,7.9116017706904795,369378.6666666667,7444.7950864225695,2011,9,False
2011-10-01,382207,0.5696738781503008,7.296716870429365,371544.6666666667,7036.657630302624,2011,10,False
2011-11-01,383422,0.3178905671534116,6.669077757685349,373542.3333333333,6684.868100059169,2011,11,False
2011-12-01,383985,0.14683560150434705,6.079358194812401,375376.1666666667,6227.106067005412,2011,12,False
2012-01-01,387531,0.9234735731864507,6.349445929406072,377304.25,6098.19104511884,2012,1,False
2012-02-01,392310,1.2331916672472687,6.758282876386157,379373.8333333333,6648.496410106106,2012,2,False
2012-03-01,393698,0.3538018403813403,6.182455667183606,381284.0833333333,7221.688954538586,2012,3,False
2012-04-01,392073,-0.4127529222906934,5.164154283568467,382888.5,7308.4688546949055,2012,4,False
2012-05-01,391376,-0.1777730167596303,5.065972268828611,384461.0833333333,6889.354442096493,2012,5,False
2012-06-01,387901,-0.8878929724868145,3.278601229542022,385487.25,6342.8034112436435,2012,6,False
2012-07-01,389686,0.4601689606368531,3.7939282232675176,386674.25,5578.836081368208,2012,7,False
2012-08-01,394524,1.2415123971607933,4.965678710158028,388229.5833333333,4842.983330337668,2012,8,False
2012-09-01,397681,0.8002048037635268,4.641329116255566,389699.5,4808.744487442166,2012,9,False
2012-10-01,397494,-0.04702261360235438,3.9996651029416075,390973.4166666667,4666.18949969046,2012,10,False
2012-11-01,399708,0.5569895394647473,4.247539264830924,392330.5833333333,4638.502941459845,2012,11,False
2012-12-01,401093,0.34650294715141694,4.455382371707217,393756.25,4466.172697986037,2012,12,False
2013-01-01,404434,0.8329738988214652,4.361715578882719,395164.8333333333,4962.266781030214,2013,1,False
2013-02-01,409118,1.1581617767052244,4.284366954704177,396565.5,6280.29667076197,2013,2,False
2013-03-01,406223,-0.7076198065105954,3.181372524117476,397609.25,6781.225219481379,2013,3,False
2013-04-01,404231,-0.4903710523530225,3.1009531388287437,398622.4166666667,6787.11746899501,2013,4,False
2013-05-01,406677,0.605099559410327,3.909539675401663,399897.5,6739.101012346152,2013,5,False
2013-06-01,407921,0.3058938666312683,5.161110695770321,401565.8333333333,5928.596443336276,2013,6,False
2013-07-01,410268,0.5753565028522756,5.281688333684054,403281.0,5098.364425798136,2013,7,False
2013-08-01,409691,-0.14063977692629903,3.844379556123334,404544.9166666667,4584.159930152372,2013,8,False
2013-09-01,410044,0.08616249807782417,3.108773112117502,405575.1666666667,4280.498374418238,2013,9,False
2013-10-01,411399,0.330452341699905,3.498166010052972,406733.9166666667,3742.248848892117,2013,10,False
2013-11-01,412561,0.28245085671088077,3.2155973860918508,407805.0,3369.2925073471224,2013,11,False
2013-12-01,414812,0.5456162846221524,3.4204037467619797,408948.25,3208.459135284978,2013,12,False
2014-01-01,411561,-0.7837285324436172,1.7622158374419605,409542.1666666667,2945.7438583241874,2014,1,False
2014-02-01,416736,1.25740777187342,1.8620544683929818,410177.0,3595.2827174297568,2014,2,False
2014-03-01,421230,1.0783805574752447,3.6942762965169296,411427.5833333333,4572.186913754796,2014,3,False
2014-04-01,425546,1.0246183795076247,5.272975105818212,413203.8333333333,5556.584412514826,2014,4,False
2014-05-01,426253,0.16613950078252504,4.813648177792196,414835.1666666667,6291.250415294985,2014,5,False
2014-06-01,427305,0.24680178204024017,4.751900490536154,416450.5,6820.807543504384,2014,6,False
2014-07-01,428079,0.18113525467757796,4.341308608031813,417934.75,7275.86483613524,2014,7,False
2014-08-01,431379,0.770885747724126,5.293745774254255,419742.0833333333,7721.936279301293,2014,8,False
2014-09-01,430189,-0.2758595110100348,4.912887397450039,421420.8333333333,7610.866201255216,2014,9,False
2014-10-01,431903,0.3984295274867655,4.98396933390699,423129.5,7456.432860294324,2014,10,False
2014-11-01,433113,0.28015549787798744,4.981566362307643,424842.1666666667,7162.786758768784,2014,11,False
2014-12-01,430110,-0.6933525431007559,3.687935739563941,426117.0,6550.5314149510805,2014,12,False
2015-01-01,428208,-0.4422124572783681,4.0448438992032765,427504.25,4684.652643093602,2015,1,False
2015-02-01,427119,-0.25431565967940495,2.4915054134991843,428369.5,3255.9734335649778,2015,2,False
2015-03-01,433647,1.5283796787312287,2.9477957410440903,429404.25,2707.6666951269854,2015,3,False
2015-04-01,434470,0.18978570127314853,2.0970705869635786,430147.9166666667,2776.284255121191,2015,4,False
2015-05-01,437865,0.7814118351094468,2.724203700619121,431115.5833333333,3274.304241397647,2015,5,False
2015-06-01,437951,0.019640756854277797,2.4914288388855788,432002.75,3576.3026901958383,2015,6,False
2015-07-01,441942,0.9112891624862174,3.238420945666576,433158.0,4349.158706535107,2015,7,False
2015-08-01,441849,-0.02104348534422984,2.4271000674580767,434030.5,4966.254862944683,2015,8,False
2015-09-01,439867,-0.44856953393580534,2.2497088489012995,434837.0,5070.438962536995,2015,9,False
2015-10-01,438693,-0.2668988580639131,1.5721122566872747,435402.8333333333,5092.072588103065,2015,10,False
2015-11-01,440303,0.3669992454860216,1.660074853444704,436002.0,5219.556964836937,2015,11,False
2015-12-01,442149,0.41925673910920835,2.7990514054544224,437005.25,5140.510606500308,2015,12,False
2016-01-01,439466,-0.6068090168698803,2.629096140193554,437943.4166666667,4356.553526456004,2016,1,False
2016-02-01,443117,0.8307809932964094,3.74556037076319,439276.5833333333,2970.232817897231,2016,2,False
2016-03-01,441856,-0.28457495424458745,1.8930143642178932,439960.6666666667,2456.7283245601448,2016,3,False
2016-04-01,444254,0.542710747392805,2.251939144244708,440776.0,2060.421933863365,2016,4,False
2016-05-01,445490,0.27821921693444995,1.7414043141150914,441411.4166666667,2248.2629035378623,2016,5,False
2016-06-01,450237,1.0655682506902409,2.805336670084091,442435.25,3146.9923339741244,2016,6,False
2016-07-01,449789,-0.09950315056292958,1.7755723601739604,443089.1666666667,3785.645467572603,2016,7,False
2016-08-01,449946,0.03490525557539037,1.8325264966085664,443763.9166666667,4238.963498070216,2016,8,False
2016-09-01,453056,0.6911940543976369,2.9984063364608016,444863.0,4808.306921842562,2016,9,False
2016-10-01,453847,0.1745921034044251,3.4543519044069493,446125.8333333333,5025.610317235163,2016,10,False
